project_type,department,state,district,approved_budget,amount_claimed,amount_released,work_completion_percent,expected_completion_days,actual_days_since_start,delay_ratio,invoice_count,average_invoice_amount,largest_invoice_amount,payment_frequency_per_month,same_vendor_invoice_count,inspection_status,last_inspection_days_ago,geo_tagged_proof_submitted,proof_document_count,complaints_count,contractor_previous_projects,contractor_avg_delay_days,contractor_avg_budget_overrun,contractor_blacklist_flag,approved_work_quantity,claimed_work_quantity,verified_work_quantity,quantity_mismatch_ratio,budget_claim_ratio,fraud_score,fraud_label
Road Construction,Public Works Department,Tamil Nadu,Salem,23049714.67,23551743.41,16518738.8,73.58,545,420,0.7706,22,1070533.79,3825853.57,3.63,12,Completed,144,1,12,4,27,19.09,0.04,0,14716.62,13272.24,13622.47,-0.0238,1.0218,0.1284,0
Road Construction,Public Works Department,Gujarat,Rajkot,61564857.02,39969657.19,35886702.59,90.88,767,681,0.8879,11,3633605.2,6166977.84,4.58,9,Completed,155,1,35,0,42,9.23,0.07,0,84781.64,79956.46,75327.11,0.0546,0.6492,0.0107,0
Water Pipeline,Water Resources Department,Tamil Nadu,Coimbatore,39921881.21,40402381.61,28588135.9,56.01,376,364,0.9681,7,5771768.8,16516037.96,7.47,15,Pending,44,1,74,6,23,18.33,0.04,0,15740.39,15734.56,14763.8,0.0617,1.012,0.1979,0
Water Pipeline,Water Resources Department,Kerala,Thrissur,58588949.87,21150013.12,18574996.23,76.63,702,514,0.7322,22,961364.23,4710758.67,7.65,12,Completed,268,1,37,1,90,17.97,0.09,0,213744.88,237262.08,199690.93,0.1758,0.361,0.0398,0
Electricity Infrastructure,Energy Department,Gujarat,Rajkot,57960180.07,36778846.73,26599898.25,39.87,776,455,0.5863,19,1935728.78,4965987.02,7.45,13,Completed,130,1,30,9,97,4.28,0.11,0,233041.49,258570.46,200813.52,0.2478,0.6346,0.1525,0
Bridge Construction,Public Works Department,Madhya Pradesh,Gwalior,35577245.28,49243075.43,29222875.73,5.42,68,104,1.5294,157,313650.16,716727.23,1.37,51,Pending,106,1,25,9,12,127.04,0.54,0,198548.26,256761.45,119123.52,0.6932,1.3841,0.5986,0
Welfare Distribution,Social Welfare Department,Andhra Pradesh,Vijayawada,91403407.91,76077319.52,55654998.37,39.79,201,207,1.0299,46,1653854.77,2889650.14,2.21,16,Completed,18,1,14,0,4,20.34,0.01,0,243955.86,220046.24,221362.71,-0.0054,0.8323,0.1213,0
Welfare Distribution,Social Welfare Department,Maharashtra,Nashik,13937860.74,19184792.37,10380473.61,61.2,487,957,1.9651,40,479619.81,1941848.21,3.92,79,Completed,68,0,6,24,55,146.71,0.84,1,112870.3,199669.95,53366.07,1.2962,1.3765,0.8161,1
Bridge Construction,Public Works Department,Gujarat,Bhavnagar,64416329.12,49443961.24,44423501.75,58.07,451,419,0.929,36,1373443.37,4641702.72,8.43,4,Completed,365,1,36,9,60,1.55,0.15,0,145130.18,154972.48,150420.63,0.0314,0.7676,0.0981,0
Water Pipeline,Water Resources Department,Rajasthan,Kota,37892506.75,56488825.92,52164310.38,11.54,1047,1733,1.6552,143,395026.75,1848213.04,4.71,86,Failed,261,0,4,90,34,93.11,0.36,1,41264.28,64380.43,25702.14,0.9373,1.4908,1.0,1
Welfare Distribution,Social Welfare Department,Telangana,Nizamabad,38050124.45,9886948.76,7060740.91,54.93,563,455,0.8082,10,988694.88,4270958.89,3.31,6,Completed,205,1,69,5,13,12.71,0.16,0,201000.68,212477.81,192549.07,0.0991,0.2598,0.0013,0
School Building,Education Department,Gujarat,Rajkot,48319301.26,20846974.24,20607460.92,69.91,863,717,0.8308,25,833878.97,3224456.21,6.58,8,Completed,339,1,50,1,21,40.83,0.18,1,217113.51,199880.73,227494.4,-0.1272,0.4314,0.186,0
Housing Scheme,Housing Department,Kerala,Thiruvananthapuram,49048214.85,53666937.86,46419622.78,9.76,881,834,0.9467,147,365081.21,1338660.52,3.17,75,Completed,286,0,4,30,30,193.53,0.7,0,249923.99,309539.42,198055.38,0.4461,1.0942,0.5359,0
Bridge Construction,Public Works Department,Kerala,Kozhikode,15642294.94,7571364.6,5788084.75,67.92,1032,1019,0.9874,16,473210.29,771662.42,4.79,9,Pending,245,1,34,2,51,13.38,0.19,0,229610.06,241151.73,193003.03,0.2097,0.484,0.0823,0
Welfare Distribution,Social Welfare Department,Maharashtra,Nagpur,38887214.17,20872188.13,19805949.52,97.65,225,114,0.5067,11,1897471.65,9897104.24,4.6,8,Pending,2,1,21,11,27,4.47,0.17,0,21437.82,21365.33,20169.57,0.0558,0.5367,0.0677,0
Welfare Distribution,Social Welfare Department,Kerala,Thiruvananthapuram,67863768.34,64028352.23,49499451.55,82.91,306,65,0.2124,42,1524484.58,5567533.06,8.01,18,Completed,297,1,24,8,94,21.05,0.02,1,136404.1,126841.71,128182.71,-0.0098,0.9435,0.1868,0
School Building,Education Department,Telangana,Nizamabad,68471552.54,65046988.12,57723714.11,74.44,262,276,1.0534,41,1586511.91,4662805.86,5.4,3,Completed,283,0,6,12,40,8.57,0.1,1,98917.83,100878.7,97028.99,0.0389,0.95,0.2675,0
Road Construction,Public Works Department,Tamil Nadu,Madurai,91579114.42,34699995.07,29275148.35,63.7,553,165,0.2984,37,937837.7,5573672.33,0.79,16,Pending,169,1,31,7,33,15.91,0.01,0,101199.01,92178.26,96091.15,-0.0387,0.3789,0.1234,0
School Building,Education Department,Tamil Nadu,Coimbatore,13025620.14,16166544.21,13652883.2,46.19,496,955,1.9254,103,156956.74,232008.29,0.62,65,Pending,253,0,4,36,88,56.18,0.49,1,220730.86,329642.42,149251.15,0.8172,1.2411,0.9281,1
Drainage System,Municipal Administration,Madhya Pradesh,Bhopal,72221165.87,74360342.29,60371123.4,95.53,441,178,0.4036,37,2009738.98,6978657.95,3.68,11,Completed,55,1,53,5,45,18.56,0.17,0,80078.07,79681.93,78699.68,0.0123,1.0296,0.0497,0
Bridge Construction,Public Works Department,Karnataka,Mysuru,18110024.42,18475617.36,14014399.25,66.7,935,552,0.5904,32,577363.04,1176024.9,3.69,17,Pending,319,1,39,3,51,33.24,0.12,1,11449.94,11632.59,10853.9,0.068,1.0202,0.2879,0
School Building,Education Department,Maharashtra,Nashik,58549100.31,58293488.72,49534545.72,49.03,551,471,0.8548,132,441617.34,671811.52,6.43,49,Failed,354,1,29,64,86,93.07,0.67,1,45696.37,78360.21,27199.41,1.1196,0.9956,0.7083,1
Drainage System,Municipal Administration,Tamil Nadu,Coimbatore,55283426.53,16598986.5,16102691.61,47.59,1030,397,0.3854,8,2074873.31,10692400.89,6.45,2,Completed,58,1,28,9,86,27.98,0.1,0,134609.31,144656.87,135671.0,0.0668,0.3003,0.0522,0
Housing Scheme,Housing Department,Andhra Pradesh,Visakhapatnam,53960224.88,56902242.25,30384741.93,51.56,1035,1077,1.0406,80,711278.03,3318841.95,2.28,95,Pending,285,0,5,31,65,125.13,0.16,1,86653.66,168197.37,66049.82,1.1788,1.0545,0.7069,1
Hospital Development,Health Department,Maharashtra,Pune,6675609.55,3137134.02,2547937.39,74.01,369,426,1.1545,37,84787.41,320426.9,5.7,18,Completed,213,1,74,5,50,27.74,0.08,0,177310.9,169381.43,164752.76,0.0261,0.4699,0.1221,0
Welfare Distribution,Social Welfare Department,Andhra Pradesh,Nellore,50410897.01,44790115.39,42360451.29,22.38,319,584,1.8307,168,266607.83,684013.19,3.68,11,Pending,318,1,24,74,17,153.11,0.6,1,80101.8,131252.67,65446.67,0.8215,0.8885,0.8145,1
Hospital Development,Health Department,Karnataka,Hubballi,47150148.85,39208642.45,31558319.99,58.35,118,47,0.3983,22,1782211.02,8343361.12,8.87,17,Pending,364,1,66,9,83,15.1,0.05,0,111587.51,119256.22,107095.14,0.109,0.8316,0.1595,0
Water Pipeline,Water Resources Department,Madhya Pradesh,Jabalpur,48730328.38,41423330.12,20106255.8,59.07,837,1352,1.6153,34,1218333.24,6784658.31,4.21,89,Failed,282,1,32,41,12,64.51,0.66,1,162326.19,306889.11,63720.37,1.498,0.8501,0.6655,1
Hospital Development,Health Department,Tamil Nadu,Tiruchirappalli,65469575.58,61141505.58,55606581.74,82.0,90,85,0.9444,27,2264500.21,6717807.0,8.21,9,Completed,152,1,34,9,57,30.92,0.15,0,197582.84,193298.84,201028.71,-0.0391,0.9339,0.0301,0
Road Construction,Public Works Department,Karnataka,Hubballi,71005539.5,65421731.68,47950979.9,81.3,146,50,0.3425,43,1521435.62,6590981.76,7.39,0,Completed,258,1,16,7,87,23.72,0.16,0,166991.37,181733.01,166391.24,0.0919,0.9214,0.0498,0
Housing Scheme,Housing Department,Telangana,Hyderabad,94444722.02,48331267.13,43612612.75,91.57,158,170,1.0759,3,16110422.38,46432050.05,7.19,3,Completed,325,1,65,2,83,9.44,0.13,0,178616.65,180145.28,177150.24,0.0168,0.5117,0.0,0
Welfare Distribution,Social Welfare Department,Kerala,Thrissur,18642443.28,16001796.81,15407540.93,37.83,590,400,0.678,16,1000112.3,5182836.08,5.17,7,Completed,216,1,76,7,76,38.55,0.18,0,186327.96,190080.05,168594.17,0.1153,0.8584,0.1558,0
Electricity Infrastructure,Energy Department,Andhra Pradesh,Visakhapatnam,7673781.6,7742799.46,6954521.27,48.09,215,348,1.6186,90,86031.11,354725.14,8.1,100,Pending,165,0,2,40,98,139.23,0.41,0,226300.18,291215.17,124522.88,0.7366,1.009,0.6294,1
Road Construction,Public Works Department,Gujarat,Rajkot,48894390.76,14614993.5,14388418.47,48.82,753,783,1.0398,16,913437.09,2972834.79,3.08,3,Completed,204,1,57,11,51,15.6,0.08,0,227645.31,254057.32,230357.82,0.1041,0.2989,0.0771,0
Bridge Construction,Public Works Department,Uttar Pradesh,Prayagraj,4907563.81,3911359.43,3435857.1,38.88,272,501,1.8419,170,23008.0,113863.12,1.65,27,Pending,61,0,1,41,87,132.02,0.39,1,146124.44,198131.42,101895.38,0.6586,0.797,0.8004,1
Drainage System,Municipal Administration,Karnataka,Belagavi,85762094.44,129234179.46,100458790.74,30.11,71,94,1.3239,173,747018.38,4110329.01,5.52,19,Pending,138,1,16,47,55,121.46,0.83,0,173838.5,282001.05,92988.55,1.0873,1.5069,0.6811,1
Electricity Infrastructure,Energy Department,Maharashtra,Pune,18336469.64,18333816.68,12769644.61,19.57,196,276,1.4082,92,199280.62,962265.02,7.32,17,Completed,145,0,7,10,1,164.03,0.6,1,17883.06,22672.05,10884.91,0.6591,0.9999,0.612,1
Welfare Distribution,Social Welfare Department,Karnataka,Hubballi,48891346.41,37672024.43,26384445.16,90.27,400,408,1.02,16,2354501.53,11955918.12,7.89,5,Completed,56,1,22,4,39,13.85,0.2,0,174424.2,185524.49,148973.23,0.2096,0.7705,0.1033,0
Water Pipeline,Water Resources Department,Karnataka,Hubballi,52635401.37,35511297.71,32357695.6,57.58,1080,455,0.4213,36,986424.94,4062366.48,6.62,14,Completed,319,0,4,7,2,3.7,0.01,0,237491.71,243679.49,223519.85,0.0849,0.6747,0.1218,0
Road Construction,Public Works Department,Maharashtra,Pune,86114600.16,82476419.48,48269177.88,25.19,1093,945,0.8646,73,1129813.97,2262314.88,0.74,67,Completed,162,0,1,77,47,122.22,0.46,1,156910.38,259003.24,122216.45,0.8718,0.9578,0.7533,1
Drainage System,Municipal Administration,Maharashtra,Nashik,97672743.55,84853385.18,66221200.32,38.82,464,306,0.6595,18,4714076.95,22036984.92,3.34,16,Failed,165,1,22,3,29,32.72,0.15,0,124918.35,119846.45,105950.48,0.1112,0.8688,0.2448,0
Road Construction,Public Works Department,Maharashtra,Aurangabad,24167705.11,32424300.67,27850425.45,61.45,774,1110,1.4341,112,289502.68,626683.12,0.61,88,Pending,163,1,38,42,70,91.47,0.44,1,170885.94,316001.09,74776.7,1.4116,1.3416,0.7673,1
Welfare Distribution,Social Welfare Department,Karnataka,Bengaluru,27055693.67,8068054.45,5797228.79,57.32,564,621,1.1011,18,448225.25,1543420.28,3.76,2,Completed,2,1,42,0,88,31.97,0.02,0,108136.57,118518.57,93354.64,0.2327,0.2982,0.0698,0
Welfare Distribution,Social Welfare Department,Maharashtra,Mumbai,70096768.24,56959013.19,42464225.99,88.68,640,290,0.4531,14,4068500.94,17668892.21,4.59,11,Failed,338,1,10,3,3,42.15,0.1,0,13225.81,13264.8,13405.24,-0.0106,0.8126,0.1249,0
Water Pipeline,Water Resources Department,Maharashtra,Aurangabad,82135184.93,119065036.36,77176274.38,57.97,935,1436,1.5358,74,1608986.98,6868932.15,3.94,81,Pending,168,0,4,32,49,178.83,0.3,1,203857.89,376681.32,136475.21,1.1783,1.4496,0.8421,1
Electricity Infrastructure,Energy Department,Uttar Pradesh,Agra,40177698.75,33043116.78,27139400.96,86.82,507,475,0.9369,41,805929.68,4775407.87,7.67,17,Completed,166,1,51,7,61,4.3,0.13,0,77767.05,71966.57,65651.72,0.0812,0.8224,0.0149,0
School Building,Education Department,Maharashtra,Mumbai,20498309.81,18069768.54,12912336.07,68.41,881,259,0.294,15,1204651.24,4566473.04,6.03,3,Completed,190,0,1,5,35,37.71,0.17,0,123835.94,131196.65,110898.79,0.1639,0.8815,0.218,0
Road Construction,Public Works Department,Gujarat,Rajkot,78145763.54,57977688.0,56348090.52,85.15,756,411,0.5437,17,3410452.24,20362308.56,5.1,17,Completed,344,1,52,6,41,1.8,0.1,0,65234.45,69088.48,63962.27,0.0786,0.7419,0.0069,0
Hospital Development,Health Department,Rajasthan,Ajmer,98546296.54,50461610.42,50259924.46,53.97,439,482,1.0979,16,3153850.65,13964080.59,6.36,5,Completed,359,1,16,0,11,36.21,0.02,0,173545.62,165055.61,150338.57,0.0848,0.5121,0.0,0
School Building,Education Department,Karnataka,Bengaluru,63807162.22,36525006.92,26709539.96,37.9,720,178,0.2472,28,1304464.53,2683702.53,3.73,7,Completed,43,1,12,11,95,11.51,0.21,0,161843.18,173694.4,142095.79,0.1952,0.5724,0.0871,0
Bridge Construction,Public Works Department,Rajasthan,Jaipur,63924285.1,33101316.44,27844146.07,44.07,1066,584,0.5478,22,1504605.29,5239502.68,2.93,12,Completed,311,1,30,12,6,37.5,0.18,0,90570.16,97883.82,76619.35,0.2348,0.5178,0.0663,0
Drainage System,Municipal Administration,Madhya Pradesh,Gwalior,25262528.29,35105576.13,25742703.14,44.79,116,190,1.6379,127,276421.86,592930.24,6.42,23,Completed,91,0,6,52,7,187.79,0.83,1,33764.77,59054.47,27681.07,0.9292,1.3896,0.7949,1
Hospital Development,Health Department,Karnataka,Bengaluru,40349036.78,10554045.58,9258237.46,48.72,782,189,0.2417,39,270616.55,1252829.54,7.73,18,Completed,282,1,52,7,38,32.89,0.06,0,28498.48,29467.92,28541.07,0.0325,0.2616,0.0881,0
Road Construction,Public Works Department,Andhra Pradesh,Vijayawada,31344556.01,10080013.61,9110596.05,81.3,284,139,0.4894,19,530527.03,830083.04,4.87,8,Completed,152,1,69,12,96,0.22,0.05,0,136040.85,135820.45,140641.26,-0.0354,0.3216,0.0234,0
Water Pipeline,Water Resources Department,Madhya Pradesh,Jabalpur,85274825.93,64600652.08,63046396.57,58.46,731,858,1.1737,16,4037540.75,12186518.69,3.36,12,Completed,58,1,75,0,8,28.92,0.16,0,131358.19,124574.23,132920.15,-0.0635,0.7576,0.0873,0
Road Construction,Public Works Department,Kerala,Kochi,67345865.26,26840302.75,19226261.64,52.35,203,101,0.4975,31,865816.22,3805799.08,5.15,13,Completed,68,1,51,11,73,28.57,0.18,0,21035.54,22411.74,21815.2,0.0284,0.3985,0.1019,0
Welfare Distribution,Social Welfare Department,Rajasthan,Kota,9950931.37,3016286.49,2235545.57,63.58,900,996,1.1067,24,125678.6,751570.27,8.21,7,Completed,283,0,1,6,26,18.51,0.19,0,176824.82,166512.8,149149.97,0.0982,0.3031,0.1938,0
Drainage System,Municipal Administration,Madhya Pradesh,Gwalior,94712290.1,60255384.48,42808661.89,37.72,658,437,0.6641,44,1369440.56,7456715.64,3.39,1,Completed,324,1,10,8,20,43.6,0.14,0,45501.54,45323.82,42616.88,0.0595,0.6362,0.0964,0
Electricity Infrastructure,Energy Department,Andhra Pradesh,Vijayawada,74104769.6,45923196.29,40220728.81,86.61,734,779,1.0613,23,1996660.71,9523651.25,2.47,13,Completed,181,1,61,10,35,14.82,0.19,0,36377.19,35436.82,36590.79,-0.0317,0.6197,0.0112,0
Welfare Distribution,Social Welfare Department,Karnataka,Mangaluru,48284272.65,41251232.24,39175604.51,96.03,193,225,1.1658,40,1031280.81,5516767.43,8.59,3,Completed,191,1,36,0,37,19.56,0.14,0,32813.04,32385.63,29782.14,0.0793,0.8543,0.0805,0
Bridge Construction,Public Works Department,Uttar Pradesh,Prayagraj,52205132.13,47109329.45,22492999.89,60.6,1035,1388,1.3411,70,672990.42,1508231.21,2.77,100,Pending,239,1,23,53,88,131.12,0.54,1,120874.1,206678.89,64386.62,1.1772,0.9024,0.655,1
Bridge Construction,Public Works Department,Madhya Pradesh,Gwalior,44413813.58,8428667.24,6370237.93,44.09,470,382,0.8128,31,271892.49,1298075.4,3.65,3,Completed,132,1,78,7,95,41.75,0.1,0,62328.23,68178.89,64922.55,0.0522,0.1898,0.0688,0
Road Construction,Public Works Department,Maharashtra,Pune,65156402.63,52108146.46,45327108.29,75.78,311,321,1.0322,36,1447448.51,3682822.39,1.48,0,Completed,262,1,12,4,68,18.16,0.11,0,82056.54,89116.86,84261.75,0.0592,0.7997,0.0092,0
Drainage System,Municipal Administration,Uttar Pradesh,Agra,77466369.89,25009872.96,19107046.28,81.94,1034,953,0.9217,21,1190946.33,5083989.45,1.12,15,Completed,180,0,4,8,84,6.35,0.09,0,57017.19,56311.8,48490.2,0.1372,0.3228,0.1249,0
Housing Scheme,Housing Department,Gujarat,Ahmedabad,67546708.83,63437723.68,61684550.89,57.69,343,72,0.2099,3,21145907.89,118300803.27,2.3,8,Completed,333,1,54,2,48,42.22,0.09,0,142161.82,139280.38,121105.86,0.1278,0.9392,0.0893,0
Drainage System,Municipal Administration,Rajasthan,Ajmer,36857577.53,22045173.1,16869407.81,35.62,747,678,0.9076,8,2755646.64,12651024.1,8.09,1,Completed,148,1,21,8,69,30.13,0.02,0,191276.31,188183.4,167329.49,0.109,0.5981,0.1402,0
Road Construction,Public Works Department,Karnataka,Bengaluru,51772793.98,19035414.55,13900731.64,76.16,521,512,0.9827,22,865246.12,1897932.97,8.68,16,Completed,267,1,31,2,39,7.4,0.2,0,56592.9,58030.19,50852.97,0.1268,0.3677,0.0696,0
Drainage System,Municipal Administration,Uttar Pradesh,Kanpur,20355118.25,5865016.29,5528789.78,62.71,929,944,1.0161,24,244375.68,699737.83,8.2,8,Completed,176,1,16,9,56,21.17,0.01,0,229601.49,222297.84,204048.02,0.0795,0.2881,0.0745,0
Water Pipeline,Water Resources Department,Karnataka,Bengaluru,99860614.07,31749678.59,23364371.68,51.83,398,184,0.4623,39,814094.32,2804696.63,7.61,14,Completed,187,1,30,1,9,0.62,0.14,0,221633.76,247118.62,207574.31,0.1784,0.3179,0.1064,0
Hospital Development,Health Department,Gujarat,Ahmedabad,55194977.16,24942889.91,18380585.48,86.29,624,544,0.8718,16,1558930.62,5687301.24,8.65,12,Completed,343,1,32,11,75,8.44,0.03,0,193680.78,210386.09,185871.23,0.1266,0.4519,0.0981,0
Water Pipeline,Water Resources Department,Telangana,Warangal,25083394.49,29678650.71,25346644.55,11.86,655,1072,1.6366,56,529975.91,1746935.09,7.56,37,Failed,336,0,5,15,44,97.6,0.8,1,226979.25,355363.62,88825.72,1.1743,1.1832,0.8495,1
Water Pipeline,Water Resources Department,Karnataka,Mysuru,6231185.64,1450765.98,1111770.2,88.65,420,202,0.481,47,30867.36,60726.93,4.35,15,Failed,254,0,9,9,97,25.27,0.19,0,145506.13,154018.83,133508.46,0.141,0.2328,0.2905,0
Welfare Distribution,Social Welfare Department,Madhya Pradesh,Bhopal,62030363.58,20436588.65,15670487.02,88.91,313,127,0.4058,31,659244.8,1467450.64,6.62,6,Completed,37,1,16,5,45,7.56,0.17,0,61099.9,59420.23,59973.16,-0.009,0.3295,0.0,0
Bridge Construction,Public Works Department,Telangana,Warangal,78434785.44,69705982.31,57644348.22,35.05,628,334,0.5318,25,2788239.29,10214692.02,6.32,13,Completed,1,1,59,1,63,26.26,0.14,0,237408.41,258149.95,222367.73,0.1507,0.8887,0.2204,0
School Building,Education Department,Maharashtra,Nagpur,90255094.74,64574499.55,52540192.77,51.31,791,638,0.8066,27,2391648.13,11684188.79,0.97,3,Completed,130,1,68,1,50,25.96,0.21,0,160272.67,156773.01,147974.13,0.0549,0.7155,0.0967,0
Hospital Development,Health Department,Madhya Pradesh,Gwalior,51397564.23,34382426.88,33264033.28,96.83,73,41,0.5616,49,701682.18,2999391.49,8.28,18,Completed,364,1,34,1,59,4.87,0.14,0,127716.89,133845.97,108027.19,0.2022,0.669,0.0996,0
Bridge Construction,Public Works Department,Gujarat,Rajkot,90401354.6,72248983.75,65226948.49,40.26,515,611,1.1864,10,7224898.38,21689233.04,8.69,8,Pending,353,1,17,10,82,44.09,0.21,0,117374.84,130083.88,121465.68,0.0734,0.7992,0.2459,0
Housing Scheme,Housing Department,Rajasthan,Jaipur,4412342.39,3642353.53,3534887.59,50.73,536,266,0.4963,9,404705.95,2426108.03,4.64,12,Completed,219,1,71,7,76,20.63,0.09,0,135248.95,150062.1,141432.82,0.0638,0.8255,0.1113,0
Drainage System,Municipal Administration,Andhra Pradesh,Vijayawada,18637180.0,15220965.14,11182084.52,91.93,830,215,0.259,14,1087211.8,4723239.9,4.12,15,Completed,279,1,46,3,4,21.94,0.02,0,205720.29,207979.23,205692.37,0.0111,0.8167,0.0217,0
Bridge Construction,Public Works Department,Maharashtra,Mumbai,13977748.39,16402020.23,7569755.57,27.31,981,1604,1.6351,145,113117.38,618245.79,7.26,21,Pending,56,0,6,79,6,82.03,0.72,1,208008.72,260577.83,93106.02,0.8051,1.1734,0.8885,1
Bridge Construction,Public Works Department,Kerala,Thrissur,54942178.35,34475687.83,33417097.32,89.75,548,481,0.8777,50,689513.76,1451007.89,0.73,6,Failed,335,1,62,8,70,22.83,0.21,1,28729.1,31775.99,29788.69,0.0692,0.6275,0.2924,0
Electricity Infrastructure,Energy Department,Gujarat,Bhavnagar,38885825.28,32007442.1,24813362.63,64.2,278,224,0.8058,3,10669147.37,44343882.06,5.31,7,Completed,191,1,69,10,54,10.68,0.13,0,24609.87,25723.53,25630.7,0.0038,0.8231,0.0953,0
Housing Scheme,Housing Department,Tamil Nadu,Tiruchirappalli,30245724.65,45524571.73,25625443.52,16.06,946,1545,1.6332,99,459844.16,995457.95,7.4,110,Pending,79,0,6,23,90,127.17,0.25,1,166444.97,308758.41,107858.54,1.207,1.5052,0.939,1
Hospital Development,Health Department,Madhya Pradesh,Indore,7337680.79,3717857.28,2624803.73,65.27,1072,625,0.583,21,177040.82,594585.89,2.18,16,Completed,105,0,2,8,14,25.22,0.01,0,134340.52,128226.7,133472.29,-0.039,0.5067,0.1416,0
School Building,Education Department,Madhya Pradesh,Gwalior,34847754.75,34755353.86,30636717.58,68.12,209,204,0.9761,40,868883.85,5169918.3,7.88,1,Failed,240,1,63,12,67,15.31,0.05,0,135919.62,125847.78,122296.3,0.0261,0.9973,0.1829,0
Housing Scheme,Housing Department,Karnataka,Mangaluru,31990506.91,43843427.89,24176232.81,41.98,1027,1780,1.7332,93,471434.71,1549926.53,1.51,59,Failed,117,1,13,6,37,65.49,0.85,0,167946.18,282540.36,112085.7,1.0149,1.3705,0.7244,1
Drainage System,Municipal Administration,Tamil Nadu,Salem,81961444.04,17262300.6,13237833.55,72.12,1001,476,0.4755,28,616510.74,1839450.13,1.45,9,Completed,148,1,23,12,43,4.45,0.13,0,218441.74,211428.62,185026.67,0.1209,0.2106,0.0905,0
Hospital Development,Health Department,Karnataka,Hubballi,3981388.02,2781230.78,2346180.82,97.42,391,242,0.6189,39,71313.61,224998.66,7.17,10,Completed,348,1,70,9,73,24.75,0.17,0,130343.49,123275.13,110060.37,0.1014,0.6986,0.0358,0
Bridge Construction,Public Works Department,Rajasthan,Jaipur,54021518.64,76322071.24,38211209.84,55.96,519,798,1.5376,116,657948.89,2602704.13,7.73,12,Failed,80,0,0,31,5,158.74,0.63,1,244978.44,377138.81,93213.7,1.159,1.4128,0.8539,1
Bridge Construction,Public Works Department,Madhya Pradesh,Ujjain,53316778.98,42221868.74,39351563.04,53.22,885,971,1.0972,49,861670.79,1531809.85,8.43,2,Completed,261,1,38,3,67,33.53,0.17,0,154030.41,163312.06,160050.53,0.0212,0.7919,0.1685,0
Electricity Infrastructure,Energy Department,Tamil Nadu,Madurai,95084700.2,125117553.92,76814453.63,8.01,825,670,0.8121,173,723222.86,1684773.38,4.19,58,Pending,230,0,6,14,75,115.97,0.27,1,184777.95,243452.66,125317.97,0.6393,1.3159,0.7408,1
Welfare Distribution,Social Welfare Department,Karnataka,Hubballi,57898049.5,71466422.38,44259423.15,23.94,409,463,1.132,83,861041.23,3727883.88,0.9,81,Pending,219,1,29,67,16,42.29,0.24,1,133243.19,234281.44,49884.63,1.3839,1.2343,0.8504,1
Electricity Infrastructure,Energy Department,Gujarat,Rajkot,64733202.44,22269920.93,16832903.83,60.73,907,870,0.9592,11,2024538.27,3687891.73,6.7,2,Completed,145,1,74,1,25,18.83,0.1,0,237582.2,245872.39,206990.94,0.1637,0.344,0.0773,0
Housing Scheme,Housing Department,Tamil Nadu,Coimbatore,93100317.7,80250351.57,72420908.11,56.74,588,413,0.7024,15,5350023.44,30466709.76,8.93,8,Completed,254,1,28,6,65,33.14,0.18,0,179446.64,192075.35,161582.89,0.1699,0.862,0.1264,0
Drainage System,Municipal Administration,Maharashtra,Nashik,89899525.32,66261214.03,54119584.03,68.42,864,779,0.9016,49,1352269.67,3568830.34,7.82,18,Pending,255,1,43,10,78,29.75,0.18,1,236856.65,247823.26,215553.82,0.1362,0.7371,0.2562,0
Housing Scheme,Housing Department,Madhya Pradesh,Jabalpur,56734808.07,52886402.46,50363186.45,73.16,72,61,0.8472,6,8814400.41,40804520.73,6.43,6,Completed,59,1,48,8,10,28.22,0.21,0,112386.52,125399.12,113928.41,0.1021,0.9322,0.1197,0
Bridge Construction,Public Works Department,Telangana,Khammam,98225056.96,113432243.01,67549738.49,27.77,609,573,0.9409,150,756214.95,4074343.71,6.97,78,Completed,305,0,4,47,52,145.92,0.85,1,208153.69,305884.87,119276.79,0.8965,1.1548,0.7514,1
Water Pipeline,Water Resources Department,Uttar Pradesh,Lucknow,82166431.42,41855711.86,40374273.63,35.38,829,654,0.7889,7,5979387.41,31559621.6,4.19,2,Completed,298,1,27,8,40,25.56,0.08,0,208821.72,190639.07,187891.92,0.0132,0.5094,0.0763,0
Electricity Infrastructure,Energy Department,Uttar Pradesh,Kanpur,57565043.49,29310118.19,26192135.74,87.82,128,107,0.8359,25,1172404.73,5335498.49,8.9,5,Completed,327,1,29,6,40,28.63,0.15,0,140269.79,132352.01,134951.47,-0.0185,0.5092,0.0331,0
Electricity Infrastructure,Energy Department,Karnataka,Mangaluru,91308378.98,45754734.87,38951686.77,52.83,276,271,0.9819,23,1989336.3,10464513.36,0.9,4,Completed,28,1,36,8,43,24.82,0.11,0,248476.08,255603.64,234011.88,0.0869,0.5011,0.0162,0
Water Pipeline,Water Resources Department,Maharashtra,Pune,29254313.14,8215967.84,7352459.68,76.61,120,35,0.2917,48,171166.0,883074.35,1.84,18,Completed,104,1,76,11,80,44.35,0.1,0,115026.4,118704.45,108766.29,0.0864,0.2808,0.105,0
School Building,Education Department,Rajasthan,Ajmer,52800000.65,67756634.3,59387332.41,9.99,469,439,0.936,165,410646.27,916647.09,3.65,100,Pending,335,0,6,84,51,185.0,0.42,0,92625.04,160384.84,61769.06,1.0647,1.2833,0.8866,1
